platform,username,date,url,likes,retweets,comments,content
"x","@hubilandvn","Nov 24, 2025 · 7:02 AM UTC","https://nitter.net/hubilandvn/status/1992851268189237497#m",0,0,0,"#HANBIN_Ơi_PROJECT #HANBIN_Ơi_14 CHUNG SỨC CÙNG ĐỒNG BÀO MIỀN TRUNG, TÂY NGUYÊN KHẮC PHỤC HẬU QUẢ MƯA LŨ Bạn thân mến, Những ngày qua, mưa lớn kéo dài gây lũ lớn và sạt nở nghiêm trọng tại nhiều tỉnh miền Trung và Tây Nguyên của nước ta. Thiệt hại về người và tài sản là vô cùng lớn. Để góp phần chung tay cùng Đảng, Nhà nước và nhân dân vùng thiên tai khắc phục hậu quả và sớm ổn định lại cuộc sống, phát huy truyền thống đoàn kết, tinh thần “tương thân, tương ái”, “lá lành đùm lá rách” của dân tộc. Hưởng ứng lời kêu gọi của Ủy ban Mặt trận Tổ quốc Việt Nam, HubiLandvn xin mở quỹ 'Hanbin_Ơi_14' để cùng Cộng đồng fan Hanbin gửi chút tấm lòng đến đồng bào miền Trung, Tây Nguyên. Mọi hỗ trợ thông qua HubiLandvn xin gửi bằng cách sau: 🌻 Qua tài khoản ngân hàng của HubiLandvn (tài khoản duy nhất và dành riêng cho các Project HANBIN_Ơi) 🔹Số tài khoản: 868 98 0119 🔹Ngân hàng MB Bank (Ngân hàng thương mại cổ phần Quân đội) 🔹Tên tài khoản: MAI NAM ANH 🔹Nội dung chuyển khoản: Tên (khi công khai danh sách) + Hanbin Oi 14 🗓 Thời hạn nhận: Đến 23h ngày 26/11/2025 (Thứ 4) Toàn bộ số tiền HubiLandvn nhận được đến thời điểm kể trên sẽ được chuyển đến tài khoản của Mặt trận Tổ quốc Việt Nam với danh nghĩa 'Cộng đồng người hâm mộ Hanbin - Ngô Ngọc Hưng'. “Chỉ cần dân ta đồng lòng, không có khăn nào không thể vượt qua!” LOVE from HUBILANDVN 🇻🇳 #한빈아_HANBIN_Ơi_PROJECT #HANBIN #HANBIN_TEMPEST #한빈 #한빈아_HANBIN_Ơi #HubiLandvn"
"x","@motthoidenho75","Nov 21, 2025 · 1:11 PM UTC","https://nitter.net/motthoidenho75/status/1991856919565549936#m",0,0,0,"Lũ đã rút bớt phần nào nhưng lại để lộ ra thảm cảnh đau lòng đó là người chết rất nhiều. Thương quá đồng bào miền Trung, Tây Nguyên ơi! Qua quả này mới lòi ra cái ngu của sát nhập nhé. Trước đó 1 ông nắm 9-1x huyện chỉ đạo nó dễ, nắm đầu từng thằng xong truyền đạt xuống cho đàn em. Giờ thì 1 ông vài chục thằng ngồi nghe điện thoại không cũng hết giờ. Bonus ai cũng có biển có núi, rồi cứu hộ cứu nạn như nào thì ai cũng thấy rồi đó☹️ Phải chi nước lũ cũng vân lời như mệnh lệnh tăng trưởng 2 con số. Chứ dân khổ quá rồi😭"
"x","@MHDao","Nov 24, 2025 · 12:09 PM UTC","https://nitter.net/MHDao/status/1992928622454436168#m",0,0,0,"1. Vì sao người dân cảnh báo lũ bị chặn thông tin? 2. Vì sao công an xã đến nhà yêu cầu người dân không theo dõi các trang phản biện xã hội? 3. Trong tình huống khẩn cấp, ưu tiên của chính quyền là cứu dân hay kiểm soát thông tin? - Hong Thai Hoang -"
"x","@phonglong183286","Nov 24, 2025 · 12:09 PM UTC","https://nitter.net/phonglong183286/status/1992928457442075089#m",0,0,0,"Bão lũ dữ quá"
"x","@motthoidenho75","Nov 24, 2025 · 11:54 AM UTC","https://nitter.net/motthoidenho75/status/1992924882431336932#m",0,0,0,"🚨 Người dân thôn miền núi Trung Hoà, xã Sơn Hoà Phú Yên đầu nguồn sông Ba Hạ chia sẻ với Báo Thanh Niên rằng thuỷ điện Sông Ba Hạ xả lũ trong đêm quá nhanh làm nước lên cực kì lẹ tầm 4m, mà còn chảy siết khiến người dân trở tay không kịp mất trắng hết tài sản. 🆘 Càng đau đớn hơn nữa là chính quyền bỏ rơi người dân ở đây, họ tới ghi nhận nhà sập rồi bỏ đi chứ không có đơn vị cứu trợ nào về đây hết —> Người dân thôn Trung Hoà với Báo Thanh Niên nay dám lên tiếng mạnh mẽ như vầy thì phải hiểu lòng dân đang sục sôi lắm rồi đó, đại hồng thuỷ do cộng sản gây ra mà đòi đàn áp dân cấm nói, hở ra là phạt thì chế độ này không tồn tại lâu nữa đâu!"
"x","@JuneNannirin_VN","Nov 24, 2025 · 10:04 AM UTC","https://nitter.net/JuneNannirin_VN/status/1992897143091396837#m",0,0,0,"🇻🇳💝 THÔNG BÁO ỦNG HỘ ĐỒNG BÀO VÙNG LŨ 💝🇻🇳 Với tinh thần “𝐭𝐮̛𝐨̛𝐧𝐠 𝐭𝐡𝐚̂𝐧 𝐭𝐮̛𝐨̛𝐧𝐠 𝐚́𝐢” và mong muốn được san sẻ phần nào khó khăn cùng bà con đang chịu ảnh hưởng bởi lũ lụt tại khu vực miền Trung, 𝐉𝐮𝐧𝐞 𝐍𝐚𝐧𝐧𝐢𝐫𝐢𝐧 𝐕𝐢𝐞𝐭𝐧𝐚𝐦 𝐅𝐚𝐧𝐩𝐚𝐠𝐞 xin phép được trích quỹ 𝟐.𝟎𝟎𝟎.𝟎𝟎𝟎 đồng ủng hộ đến 𝐁𝐚𝐧 𝐕𝐚̣̂𝐧 đ𝐨̣̂𝐧𝐠 𝐂𝐮̛́𝐮 𝐭𝐫𝐨̛̣ 𝐓𝐫𝐮𝐧𝐠 𝐮̛𝐨̛𝐧𝐠 – 𝐔̉𝐲 𝐛𝐚𝐧 𝐌𝐚̣̆𝐭 𝐭𝐫𝐚̣̂𝐧 𝐓𝐨̂̉ 𝐪𝐮𝐨̂́𝐜 𝐕𝐢𝐞̣̂𝐭 𝐍𝐚𝐦. 🌧️ Món quà nhỏ này là tấm lòng của team Admins, gửi tới những người dân đang ngày đêm đang oằn mình để khắc phục hậu quả thiên tai. 💞 Mong rằng sự sẻ chia này sẽ góp phần lan tỏa tinh thần nhân ái và cùng nhau vượt qua giai đoạn khó khăn. 𝑳𝒖̛𝒖 𝒚́: Số tiền này được trích từ quỹ vận hành page của Admins, không liên quan gì tới tài khoản mở donate cho project ""𝐽𝑢𝑛𝑒’𝑠 𝑆𝑝𝑎𝑟𝑘𝑙𝑖𝑛𝑔 𝑆ℎ𝑖𝑛𝑒"". Xin chân thành cảm ơn tất cả mọi người đã luôn đồng hành cùng 𝐉𝐮𝐧𝐞 𝐧𝐠𝐨𝐚𝐧 𝐱𝐢𝐧𝐡 𝐢𝐮 và fanpage không chỉ trong yêu thương mà còn trong những hành động ý nghĩa ❤️🙏 ---------------- 🇻🇳💝 𝐀𝐍𝐍𝐎𝐔𝐍𝐂𝐄𝐌𝐄𝐍𝐓: 𝐒𝐔𝐏𝐏𝐎𝐑𝐓 𝐅𝐎𝐑 𝐅𝐋𝐎𝐎𝐃-𝐀𝐅𝐅𝐄𝐂𝐓𝐄𝐃 𝐂𝐎𝐌𝐌𝐔𝐍𝐈𝐓𝐈𝐄𝐒 💝🇻🇳 With the spirit of “𝐦𝐮𝐭𝐮𝐚𝐥 𝐥𝐨𝐯𝐞 𝐚𝐧𝐝 𝐬𝐮𝐩𝐩𝐨𝐫𝐭” and the desire to share in the difficulties faced by people affected by the flooding in Central Vietnam, 𝐉𝐮𝐧𝐞 𝐍𝐚𝐧𝐧𝐢𝐫𝐢𝐧 𝐕𝐢𝐞𝐭𝐧𝐚𝐦 𝐅𝐚𝐧𝐩𝐚𝐠𝐞 would like to contribute 𝟐.𝟎𝟎𝟎.𝟎𝟎𝟎 VND from our fund to the 𝐂𝐞𝐧𝐭𝐫𝐚𝐥 𝐑𝐞𝐥𝐢𝐞𝐟 𝐌𝐨𝐛𝐢𝐥𝐢𝐳𝐚𝐭𝐢𝐨𝐧 𝐂𝐨𝐦𝐦𝐢𝐭𝐭𝐞𝐞 – 𝐕𝐢𝐞𝐭𝐧𝐚𝐦 𝐅𝐚𝐭𝐡𝐞𝐫𝐥𝐚𝐧𝐝 𝐅𝐫𝐨𝐧𝐭 𝐂𝐨𝐦𝐦𝐢𝐭𝐭𝐞𝐞 🌧️ This small contribution reflects the heartfelt support of our Admin team. 💞 We hope to spread kindness and help those facing difficulties. 𝑵𝒐𝒕𝒆: This amount is from the Admins’ operating fund and is not related to the donation account for the “𝐽𝑢𝑛𝑒’𝑠 𝑆𝑝𝑎𝑟𝑘𝑙𝑖𝑛𝑔 𝑆ℎ𝑖𝑛𝑒” project. Thank you for always supporting 𝐨𝐮𝐫 𝐛𝐞𝐥𝐨𝐯𝐞𝐝 𝐉𝐮𝐧𝐞 and the fanpage. ❤️🙏 🐈‍⬛✨ #Junenannirin #จูนณัณณิริณ #junenannirinvietnamfanpage"
"x","@drTrnKin1","Nov 24, 2025 · 11:51 AM UTC","https://nitter.net/drTrnKin1/status/1992924014747234544#m",0,0,0,"Đcmm cả nước đang bị nước lũ tàn phá lòng tương thân tương ái đang cần hơn bao giờ hết mà chúng mày còn phân biệt vùng miền,mở to mắt ra mà xem người ta cũng đang ủng hộ hết mình kia kìa.ko vật chất cũng tiền bạc hoặc cũng một lời động viên!óc chó"
"x","@Dang2000tb","Nov 24, 2025 · 11:50 AM UTC","https://nitter.net/Dang2000tb/status/1992923819913462202#m",0,0,0,"Nó đu 160 stl đéo gì. Trong nhóm nó là hold to die dca muôn đời, phải xây dựng dòng tiền các kiểu bố xàm vcc. Nhóm nó bảo stl sport là cả nhóm nó nhảy vào chửi và khịa :)). 1 lũ ngáo đu đỉnh ngu vc"
"x","@GamerSieu","Nov 24, 2025 · 11:14 AM UTC","https://nitter.net/GamerSieu/status/1992914638657536423#m",0,0,0,"Sau Mỗi Đợt Bão Lũ Dân Chết , Bọn Cộng Sản Lại Giầu Lên Trông Thấy."
"x","@ivanhr6868","Nov 24, 2025 · 10:57 AM UTC","https://nitter.net/ivanhr6868/status/1992910332889813440#m",0,0,0,"Ê Đài chó, m sống ở xứ tự do dân chủ, giàu có bậc nhất Châu ÂU, đất nước GDP mấy trăm k$ thuộc G7, thế bão lũ ở Việt Nam m ủng hộ được bao nhiêu rồi gửi bill xem thử chơi nào :)) ở bên Đức thiếu gì tiền ủng hộ 5k$ cho xứ cộng sản nghèo t xem nào :))"
